ÁöÁ¡,ÀÏœÃ,±âŸÐ(hPa),°íµµ(gpm),±â¿Â(¡ÆC),ÀÌœœÁ¡¿Âµµ(¡ÆC),Ç³Çâ(deg),Ç³ŒÓ(knot),Áö»ó FLAG(null),±Ç°èžé FLAG(null),ÃÖŽëÇ³ FLAG(null)
47090,2011-01-01 00:00,9.3,,-30.7,-70.7,55.0,42.0,0,0,0,
47090,2011-01-01 00:00,9.6,,,,55.0,42.0,0,0,0,
47090,2011-01-01 00:00,10.0,30840.0,-37.3,-75.3,65.0,28.0,0,0,0,
47090,2011-01-01 00:00,10.1,,,,75.0,24.0,0,0,0,
47090,2011-01-01 00:00,10.2,,-38.7,-75.7,,,0,0,0,
47090,2011-01-01 00:00,10.8,,,,75.0,24.0,0,0,0,
47090,2011-01-01 00:00,11.5,,,,95.0,35.0,0,0,0,
47090,2011-01-01 00:00,12.2,,,,95.0,18.0,0,0,0,
47090,2011-01-01 00:00,12.3,,,,105.0,18.0,0,0,0,
47090,2011-01-01 00:00,12.6,,,,130.0,24.0,0,0,0,
47090,2011-01-01 00:00,12.8,,-41.9,-76.9,130.0,26.0,0,0,0,
47090,2011-01-01 00:00,14.0,,,,75.0,28.0,0,0,0,
47090,2011-01-01 00:00,14.2,,-40.5,-76.5,,,0,0,0,
47090,2011-01-01 00:00,14.6,,,,70.0,13.0,0,0,0,
47090,2011-01-01 00:00,15.4,,,,65.0,22.0,0,0,0,
47090,2011-01-01 00:00,16.0,,,,100.0,7.0,0,0,0,
47090,2011-01-01 00:00,16.4,,,,90.0,10.0,0,0,0,
47090,2011-01-01 00:00,16.9,,,,80.0,10.0,0,0,0,
47090,2011-01-01 00:00,17.3,,-48.9,-80.9,,,0,0,0,
47090,2011-01-01 00:00,17.4,,,,50.0,10.0,0,0,0,
47090,2011-01-01 00:00,19.8,,-48.9,-81.9,,,0,0,0,
47090,2011-01-01 00:00,20.0,26170.0,-49.7,-82.7,325.0,6.0,0,0,0,
47090,2011-01-01 00:00,20.6,,,,0.0,0.0,0,0,0,
47090,2011-01-01 00:00,21.1,,,,145.0,12.0,0,0,0,
47090,2011-01-01 00:00,21.4,,,,140.0,14.0,0,0,0,
47090,2011-01-01 00:00,22.7,,,,0.0,0.0,0,0,0,
47090,2011-01-01 00:00,25.1,,-54.5,-84.5,,,0,0,0,
47090,2011-01-01 00:00,26.9,,,,335.0,11.0,0,0,0,
47090,2011-01-01 00:00,27.2,,,,330.0,10.0,0,0,0,
47090,2011-01-01 00:00,28.7,,-51.3,-83.3,,,0,0,0,
47090,2011-01-01 00:00,29.0,,,,185.0,2.0,0,0,0,
47090,2011-01-01 00:00,30.0,23550.0,-53.1,-84.1,240.0,8.0,0,0,0,
47090,2011-01-01 00:00,32.0,,,,240.0,10.0,0,0,0,
47090,2011-01-01 00:00,33.1,,,,215.0,10.0,0,0,0,
47090,2011-01-01 00:00,33.8,,,,220.0,12.0,0,0,0,
47090,2011-01-01 00:00,35.4,,,,185.0,10.0,0,0,0,
47090,2011-01-01 00:00,39.0,,,,255.0,14.0,0,0,0,
47090,2011-01-01 00:00,43.1,,,,210.0,15.0,0,0,0,
47090,2011-01-01 00:00,44.6,,,,240.0,10.0,0,0,0,
47090,2011-01-01 00:00,46.1,,,,210.0,10.0,0,0,0,
47090,2011-01-01 00:00,46.8,,-57.7,-87.7,,,0,0,0,
47090,2011-01-01 00:00,48.4,,,,200.0,11.0,0,0,0,
47090,2011-01-01 00:00,50.0,20280.0,-55.1,-86.1,215.0,18.0,0,0,0,
47090,2011-01-01 00:00,51.1,,,,230.0,17.0,0,0,0,
47090,2011-01-01 00:00,52.8,,,,280.0,15.0,0,0,0,
47090,2011-01-01 00:00,54.5,,-53.3,-85.3,,,0,0,0,
47090,2011-01-01 00:00,54.6,,,,310.0,15.0,0,0,0,
47090,2011-01-01 00:00,61.0,,,,245.0,25.0,0,0,0,
47090,2011-01-01 00:00,63.1,,,,245.0,29.0,0,0,0,
47090,2011-01-01 00:00,65.3,,-52.7,-84.7,,,0,0,0,
47090,2011-01-01 00:00,67.2,,-56.7,-86.7,,,0,0,0,
47090,2011-01-01 00:00,70.0,18130.0,-56.1,-87.1,265.0,37.0,0,0,0,
47090,2011-01-01 00:00,71.4,,-56.9,-86.9,270.0,36.0,0,1,0,
47090,2011-01-01 00:00,74.8,,,,280.0,41.0,0,0,0,
47090,2011-01-01 00:00,94.1,,,,270.0,39.0,0,0,0,
47090,2011-01-01 00:00,100.0,15840.0,-50.9,-83.9,285.0,44.0,0,0,0,
47090,2011-01-01 00:00,104.0,,-52.7,-84.7,,,0,0,0,
47090,2011-01-01 00:00,119.0,,-49.7,-82.7,,,0,0,0,
47090,2011-01-01 00:00,124.0,,-52.7,-84.7,,,0,0,0,
47090,2011-01-01 00:00,125.0,,,,270.0,58.0,0,0,0,
47090,2011-01-01 00:00,131.0,,,,280.0,51.0,0,0,0,
47090,2011-01-01 00:00,134.0,,,,290.0,54.0,0,0,0,
47090,2011-01-01 00:00,150.0,13200.0,-50.9,-82.9,285.0,64.0,0,0,0,
47090,2011-01-01 00:00,154.0,,,,280.0,71.0,0,0,1,
47090,2011-01-01 00:00,198.0,,-48.5,-80.5,,,0,0,0,
47090,2011-01-01 00:00,200.0,11320.0,-48.9,-80.9,290.0,58.0,0,0,0,
47090,2011-01-01 00:00,226.0,,,,290.0,61.0,0,0,0,
47090,2011-01-01 00:00,250.0,9850.0,-49.5,-78.5,290.0,50.0,0,0,0,
47090,2011-01-01 00:00,268.0,,,,290.0,39.0,0,0,0,
47090,2011-01-01 00:00,279.0,,,,275.0,32.0,0,0,0,
